Zone,Année,Population,Exportations (t),Importations (t),Nourriture (t),Production (t),Country Code,Stabilité politique,PIB,Infrastructures,Douanes (%),dist
Bénin,2017,11175198.0,0.0,123000.0,161000.0,18000.0,BEN,0.026252493262291,1054.97408066814,2.391474,13.63,4726.537
Cabo Verde,2017,537498.0,4000.0,12000.0,9000.0,1000.0,CPV,0.762865543365479,3893.09571382506,,,4452.386
Cambodge,2017,16009409.0,1000.0,10000.0,37000.0,28000.0,KHM,0.0935096517205238,1826.35391688754,2.362919,,9947.79
Cameroun,2017,24566073.0,0.0,0.0,78000.0,81000.0,CMR,-1.09150505065918,1496.08951771242,2.205693,,5085.718
Canada,2017,36732095.0,163000.0,182000.0,1433000.0,1417000.0,CAN,1.08968114852905,45129.628116623,4.141614,1.99,6004.645
Chili,2017,18470439.0,115000.0,155000.0,672000.0,712000.0,CHL,0.406281590461731,14879.9086227187,2.771319,1.04,11663.39
Chine - RAS de Hong-Kong,2017,7306322.0,663000.0,907000.0,391000.0,24000.0,HKG,0.818203508853912,46160.429791493,4.102599,0.0,9639.476
Chine - RAS de Macao,2017,622585.0,0.0,23000.0,21000.0,3000.0,MAC,1.40713012218475,77704.9215312666,,0.0,9601.923
"Chine, Taiwan Province de",2017,23674546.0,8000.0,161000.0,785000.0,652000.0,TWN,,,,,9834.232
"Chine, continentale",2017,1421021791.0,576000.0,452000.0,17518000.0,18236000.0,CHN,-0.232558101415634,8979.67652709856,3.752359,8.46,8225.232
Chypre,2017,1179678.0,1000.0,14000.0,30000.0,25000.0,CYP,0.530974149703979,26696.990234375,3.0,2.48,2954.551
Colombie,2017,48909839.0,2000.0,78000.0,1565000.0,1564000.0,COL,-0.779457807540894,6479.53231292429,2.429151,4.39,8707.677
Congo,2017,5110695.0,0.0,104000.0,110000.0,7000.0,COG,-0.533614814281464,2211.63309874797,2.59596,,6041.018
Costa Rica,2017,4949954.0,3000.0,17000.0,131000.0,133000.0,CRI,0.597007215023041,12317.0902771322,2.317628,,8919.449
Croatie,2017,4182857.0,17000.0,24000.0,45000.0,61000.0,HRV,0.681905686855316,13902.6310485422,2.989697,2.48,1081.762
Cuba,2017,11339254.0,72000.0,312000.0,269000.0,29000.0,CUB,0.638511061668396,8610.60829531998,2.3125,9.95,7729.485
Côte d'Ivoire,2017,24437470.0,0.0,7000.0,62000.0,58000.0,CIV,-1.09111630916595,1964.29930338343,2.463248,12.84,4884.159
Danemark,2017,5732274.0,139000.0,133000.0,166000.0,173000.0,DNK,0.854937553405762,57521.5514992225,3.745903,2.48,1027.609
Djibouti,2017,944099.0,0.0,3000.0,3000.0,0.0,DJI,-0.733945071697235,2618.95521147369,2.297812,0.0,5595.459
Dominique,2017,71458.0,0.0,4000.0,3000.0,0.0,DMA,1.17277669906616,8224.64896571414,,10.43,6826.396
El Salvador,2017,6388126.0,2000.0,16000.0,131000.0,136000.0,SLV,-0.263820260763168,4020.12671373919,2.249288,3.69,8984.298
Espagne,2017,46647428.0,212000.0,205000.0,1418000.0,1515000.0,ESP,0.270845949649811,28381.3425596906,3.716888,2.48,1054.656
Estonie,2017,1319390.0,11000.0,21000.0,28000.0,20000.0,EST,0.642370760440826,20851.5223496861,3.17635,2.48,1859.091
Eswatini,2017,1124805.0,0.0,2000.0,7000.0,6000.0,SWZ,-0.27087739109993,3853.99147918102,,2.98,8846.426
Fidji,2017,877459.0,0.0,3000.0,25000.0,23000.0,FJI,0.585380256175995,5826.84814459328,2.245696,14.19,16595.08
Finlande,2017,5511371.0,12000.0,16000.0,103000.0,129000.0,FIN,1.06380820274353,46085.0174739036,4.007231,2.48,1911.138
France,2017,64842509.0,501000.0,506000.0,1485000.0,1750000.0,FRA,0.265701532363892,38687.1626407164,4.011015,2.48,278.1876
Fédération de Russie,2017,145530082.0,115000.0,226000.0,4509000.0,4444000.0,RUS,-0.642759621143341,10658.9130859375,2.429523,5.06,2494.316
Gabon,2017,2064822.9999999998,0.0,76000.0,61000.0,4000.0,GAB,-0.105890899896622,6921.73373135624,2.045943,,5438.787
Gambie,2017,2213889.0,10000.0,16000.0,8000.0,2000.0,GMB,-0.0948309376835823,642.522641296331,,,4308.25
Ghana,2017,29121465.0,0.0,151000.0,211000.0,60000.0,GHA,0.0820369869470596,2012.28662641265,2.484248,12.33,4827.292
